path,slug,title,sidebar_order,sidebar_hidden,is_generated,is_major_doc,word_count,h1_count,h2_count,code_block_count,image_count,image_alt_present_ratio,internal_link_count,external_link_count,inbound_link_count,description_present,last_modified,last_author,age_days,distinct_committers_count,total_commits,vale_alert_count,vale_error_count,cspell_alert_count,a11y_total_issues,a11y_unique_rules,has_jsonld,in_llms_txt,instrumentation_count,ai_tell_signal_score,ai_tell_em_per_300,ai_tell_skill_verdict,risk_class,freshness_overdue,freshness_cadence_days,good_docs_type,diataxis_mode,seven_action,primary_persona,journey_stage_served,dd_steps_block_count,dd_inline_marker_count,dd_test_covered,dd_test_passed,dd_test_failed,dd_last_run,dari_task_count,dari_success_rate,dari_stuck_count,finding_ids_semicolon_delimited
src/content/docs/docs/getting-started/welcome.mdx,docs/getting-started/welcome,Promptless Overview,1,false,false,true,382,0,4,0,1,1,1,0,0,true,2026-05-08 12:00:38 -0700,promptless[bot],9,3,11,50,20,0,3,1,false,true,1,0,0,n-a,low,false,270,concept,explanation,Appraise+Understand,P1-TechWriter,Discover,1,0,false,,,,,,,
src/content/docs/docs/how-to-use-promptless/agent-knowledge-base.mdx,docs/how-to-use-promptless/agent-knowledge-base,Agent Knowledge Base,28,false,false,true,315,0,5,0,2,0,1,0,0,true,2026-05-08 16:04:17 -0700,promptless[bot],9,1,3,40,12,0,3,1,false,true,0,2,2.94,n-a,medium,false,120,how-to,how-to,Practice,P1-TechWriter,Configure,0,0,false,,,,,,,F-0003
src/content/docs/docs/how-to-use-promptless/deep-analysis.mdx,docs/how-to-use-promptless/deep-analysis,Deep Analysis,27,false,false,true,728,0,4,0,1,0,1,1,1,true,2026-05-08 16:04:17 -0700,promptless[bot],9,1,4,74,31,0,3,1,false,true,0,4,5.22,n-a,medium,false,120,how-to,how-to,Practice,P1-TechWriter,Configure,1,0,false,,,,,,,
src/content/docs/docs/how-to-use-promptless/interacting-with-promptless-p-rs.mdx,docs/how-to-use-promptless/interacting-with-promptless-p-rs,Interacting with Promptless PRs,24,false,false,true,587,0,4,11,0,,2,1,0,true,2026-05-08 16:04:17 -0700,promptless[bot],9,2,5,42,18,0,3,1,false,true,0,0,0.79,n-a,medium,false,120,how-to,how-to,Practice,P1-TechWriter,Configure,1,0,false,,,,,,,
src/content/docs/docs/how-to-use-promptless/managing-environment-variables.mdx,docs/how-to-use-promptless/managing-environment-variables,Managing Environment Variables,27,false,false,true,374,0,4,0,2,0,2,1,0,false,2026-05-08 16:04:17 -0700,promptless[bot],9,1,3,50,7,0,3,1,false,true,0,0,0,n-a,high,false,60,how-to,how-to,Practice,P1-TechWriter,Configure,1,0,false,,,,,,,
src/content/docs/docs/how-to-use-promptless/providing-feedback.mdx,docs/how-to-use-promptless/providing-feedback,Providing Feedback,26,false,false,true,525,0,5,0,6,0,2,0,1,true,2026-05-08 16:04:17 -0700,promptless[bot],9,3,7,59,14,0,3,1,false,true,0,0,1.21,n-a,medium,false,120,how-to,how-to,Practice,P1-TechWriter,Configure,0,0,false,,,,,,,
src/content/docs/docs/how-to-use-promptless/using-promptless-capture.mdx,docs/how-to-use-promptless/using-promptless-capture,Using Promptless Capture,28,false,false,true,778,0,5,0,0,,0,2,1,false,2026-05-08 16:04:17 -0700,promptless[bot],9,1,3,81,14,0,3,1,false,true,0,0,0.98,n-a,medium,false,120,how-to,how-to,Practice,P1-TechWriter,Configure,2,0,false,,,,,,,
src/content/docs/docs/how-to-use-promptless/using-the-web-interface.mdx,docs/how-to-use-promptless/using-the-web-interface,Using the Web Interface,25,false,false,true,553,0,7,0,2,0,3,0,0,true,2026-05-08 16:04:17 -0700,promptless[bot],9,2,8,50,7,0,3,1,false,true,0,2,2.17,n-a,medium,false,120,how-to,how-to,Practice,P1-TechWriter,Configure,0,0,false,,,,,,,
src/content/docs/docs/how-to-use-promptless/working-with-slack.mdx,docs/how-to-use-promptless/working-with-slack,Working with Slack,23,false,false,true,602,0,4,11,2,0,6,1,1,true,2026-05-08 16:04:17 -0700,promptless[bot],9,2,7,141,37,0,3,1,false,true,0,0,1.19,n-a,medium,false,120,how-to,how-to,Practice,P1-TechWriter,Configure,4,0,false,,,,,,,
src/content/docs/docs/how-to-use-promptless.mdx,docs/how-to-use-promptless,How to use Promptless,22,false,false,true,98,0,1,0,0,,0,0,0,true,2026-02-23 22:35:08 -0800,Prithvi Ramakrishnan,82,1,1,16,5,3,3,1,false,true,0,0,0,n-a,medium,false,120,stub,stub,stub,P1-TechWriter,Configure,0,0,false,,,,,,,
